                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.31291,                0.23894,                 0.7709,                0.56065,                 0.3016,                0.33931,                0.28101,                0.75714,                 2.1584,                0.82811,              0.0080992,              0.0080992,              0.0080992
                     99,                0.31688,                0.23828,                0.77004,                0.54137,                0.30517,                0.33994,                0.28842,                0.75266,                   2.12,                0.82798,              0.0080794,              0.0080794,              0.0080794
                    100,                0.30553,                0.24543,                0.76957,                0.51116,                0.31624,                0.34912,                0.29289,                 0.7576,                 2.0461,                0.82653,              0.0080596,              0.0080596,              0.0080596
                    101,                0.30454,                0.23935,                0.77088,                0.55533,                0.32857,                0.35519,                 0.2969,                0.75131,                 2.1022,                0.83048,              0.0080398,              0.0080398,              0.0080398
                    102,                0.30238,                 0.2343,                0.77248,                 0.5193,                0.33608,                0.35131,                0.29398,                0.75556,                  2.154,                0.82868,                0.00802,                0.00802,                0.00802
                    103,                0.30712,                0.23326,                0.77149,                0.57769,                0.28895,                0.34691,                0.29106,                 0.7649,                 2.1884,                0.83023,              0.0080002,              0.0080002,              0.0080002
                    104,                 0.2995,                0.23151,                0.76807,                0.51209,                 0.2755,                0.32139,                0.27016,                0.74608,                 2.2153,                0.82629,              0.0079804,              0.0079804,              0.0079804
                    105,                0.30475,                0.23027,                0.76933,                0.57631,                0.29486,                0.36888,                0.31341,                0.73633,                 2.1133,                0.82537,              0.0079606,              0.0079606,              0.0079606
                    106,                0.31623,                0.22993,                0.76978,                0.44837,                0.28986,                0.34486,                0.29275,                0.74906,                 2.1349,                0.82596,              0.0079408,              0.0079408,              0.0079408
                    107,                0.30149,                0.22516,                0.76879,                0.53798,                0.30108,                0.36465,                0.30655,                0.74232,                 2.0993,                0.82608,               0.007921,               0.007921,               0.007921
                    108,                0.29895,                 0.2285,                 0.7695,                0.52902,                0.33181,                0.37577,                0.30916,                 0.7499,                 2.0507,                0.82596,              0.0079012,              0.0079012,              0.0079012
                    109,                0.29549,                0.23186,                0.77029,                0.50453,                0.30264,                0.34657,                0.29263,                0.73334,                 2.0962,                 0.8264,              0.0078814,              0.0078814,              0.0078814
                    110,                0.29048,                0.22396,                0.76994,                0.52218,                0.32864,                0.36166,                0.30771,                0.73867,                 2.1211,                0.82283,              0.0078616,              0.0078616,              0.0078616
                    111,                0.28828,                0.22388,                0.76555,                0.51307,                0.28466,                0.36199,                0.30088,                 0.7427,                 2.1244,                 0.8279,              0.0078418,              0.0078418,              0.0078418
                    112,                0.29596,                 0.2268,                0.77039,                0.53036,                 0.2956,                0.35982,                0.30177,                0.75226,                  2.162,                 0.8278,               0.007822,               0.007822,               0.007822
                    113,                0.28824,                0.21532,                0.76947,                0.55068,                0.29202,                0.34433,                0.28996,                0.74746,                 2.2573,                0.82917,              0.0078022,              0.0078022,              0.0078022
                    114,                 0.2927,                0.22197,                0.76949,                0.51913,                0.31174,                0.34848,                0.29223,                0.75655,                 2.1427,                0.82703,              0.0077824,              0.0077824,              0.0077824
                    115,                0.28483,                0.22261,                 0.7675,                0.51546,                0.32946,                0.33782,                0.28336,                0.75011,                   2.06,                 0.8291,              0.0077626,              0.0077626,              0.0077626
                    116,                0.28235,                0.21503,                 0.7693,                0.58339,                0.31446,                0.34652,                0.29182,                0.73919,                 2.0518,                0.83076,              0.0077428,              0.0077428,              0.0077428
                    117,                0.28409,                0.21861,                0.76741,                0.54552,                0.28868,                0.35078,                0.29449,                0.74577,                 2.1155,                0.83017,               0.007723,               0.007723,               0.007723
                    118,                0.28746,                0.21963,                0.76784,                 0.5188,                 0.2996,                0.34722,                 0.2895,                0.75517,                 2.1123,                  0.831,              0.0077032,              0.0077032,              0.0077032
                    119,                0.28782,                0.21872,                0.76858,                0.58219,                0.32482,                 0.3708,                 0.3073,                0.75405,                 2.0407,                0.82567,              0.0076834,              0.0076834,              0.0076834
                    120,                0.29288,                0.21181,                0.76719,                0.53599,                0.30676,                 0.3508,                0.29103,                0.74305,                 2.0806,                  0.824,              0.0076636,              0.0076636,              0.0076636
                    121,                0.29049,                0.21506,                0.76813,                0.52853,                0.29996,                 0.3592,                0.30057,                0.76054,                 2.1059,                0.82878,              0.0076438,              0.0076438,              0.0076438
                    122,                0.28716,                0.21232,                0.76811,                0.57069,                0.29571,                0.35094,                0.29611,                0.75986,                 2.1514,                0.82678,               0.007624,               0.007624,               0.007624
                    123,                0.28264,                0.21718,                0.76657,                0.57103,                0.28979,                0.34142,                0.28761,                0.74017,                 2.1668,                0.82621,              0.0076042,              0.0076042,              0.0076042
                    124,                0.28467,                0.21489,                0.76858,                0.49803,                0.31487,                0.34365,                0.28748,                0.73001,                 2.1195,                0.82169,              0.0075844,              0.0075844,              0.0075844
                    125,                0.28269,                0.21085,                 0.7677,                 0.5711,                 0.3199,                 0.3485,                0.29911,                0.73686,                 2.0917,                0.82397,              0.0075646,              0.0075646,              0.0075646
                    126,                 0.2833,                0.21284,                0.77025,                0.58574,                0.31011,                0.36061,                0.30302,                0.74812,                 2.1106,                 0.8269,              0.0075448,              0.0075448,              0.0075448
                    127,                0.28402,                0.21376,                0.76669,                0.51276,                0.30079,                0.35423,                0.29718,                0.75191,                 2.1382,                0.82459,               0.007525,               0.007525,               0.007525
